weight,age_group,sex,province,visibile_minority,family_income,main_activity,likely_future_edu,desired_future_edu,obstacles,obstacles_future_edu
3302.6573,15 to 24 years,Male,Ontario,Not a visible minority,"Less than $25,000",Going to school,College or CEGEP,College or CEGEP,No,"NA"
7776.7452,15 to 24 years,Female,British Columbia,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,Yes,Financial situation
2086.5591,45 to 54 years,Female,Alberta,Visible minority,"$50,000 to $74,999",Going to school,University bachelor's degree,University Master's degree,Yes,Not able to get into program
209.3337,35 to 44 years,Female,Nova Scotia,Visible minority,"Less than $25,000",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),Yes,Financial situation
839.014,15 to 24 years,Male,Saskatchewan,Not a visible minority,"$125,000 or more",Going to school,College or CEGEP,University bachelor's degree,Yes,Personal health
2752.407,15 to 24 years,Female,Manitoba,Not a visible minority,"$125,000 or more",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
578.2838,15 to 24 years,Male,New Brunswick,Not a visible minority,"$50,000 to $74,999",Going to school,"NA",University bachelor's degree,Yes,Not able to get into program
7070.1852,15 to 24 years,Female,Alberta,Not a visible minority,"$100,000 to $124,999",Going to school,University bachelor's degree,University bachelor's degree,Yes,Financial situation
525.2652,15 to 24 years,Female,New Brunswick,Visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,"University first professional degree, such as medicine, d...",No,"NA"
3265.2695,15 to 24 years,Male,Ontario,Visible minority,"$50,000 to $74,999",Going to school,College or CEGEP,College or CEGEP,No,"NA"
1332.1102,15 to 24 years,Female,Nova Scotia,Visible minority,"$100,000 to $124,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
2054.2364,15 to 24 years,Female,British Columbia,Visible minority,"$125,000 or more",Going to school,University Master's degree,University Master's degree,No,"NA"
1764.8238,15 to 24 years,Male,Quebec,Visible minority,"Less than $25,000",Going to school,University Master's degree,University Master's degree,Yes,Financial situation
2223.2873,15 to 24 years,Female,British Columbia,Visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,University Master's degree,No,"NA"
1367.2345,15 to 24 years,Male,Newfoundland and Labroador,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,Ph.D. (university-earned doctorate),Yes,Financial situation
1948.4115,15 to 24 years,Male,British Columbia,Visible minority,"$125,000 or more",Going to school,"University first professional degree, such as medicine, d...",University Master's degree,No,"NA"
2770.7404,15 to 24 years,Male,Quebec,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,College or CEGEP,No,"NA"
1144.7269,15 to 24 years,Female,Nova Scotia,Not a visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,University bachelor's degree,Yes,Financial situation
4807.4381,15 to 24 years,Male,Ontario,Not a visible minority,"$125,000 or more",Going to school,University Master's degree,University Master's degree,No,"NA"
2001.0138,25 to 34 years,Male,British Columbia,Visible minority,"Less than $25,000",Going to school,University Master's degree,University Master's degree,No,"NA"
3292.7262,25 to 34 years,Female,Alberta,Not a visible minority,"Less than $25,000",Going to school,University Master's degree,University Master's degree,Yes,Financial situation
974.3248,15 to 24 years,Female,Saskatchewan,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,University bachelor's degree,Yes,Other - Specify
2091.5394,15 to 24 years,Female,Nova Scotia,Not a visible minority,"$50,000 to $74,999",Going to school,College or CEGEP,College or CEGEP,No,"NA"
987.1858,15 to 24 years,Female,Saskatchewan,Not a visible minority,"$75,000 to $99,999",Going to school,University Master's degree,University Master's degree,No,"NA"
3265.2695,15 to 24 years,Male,Ontario,Not a visible minority,"Less than $25,000",Going to school,College or CEGEP,College or CEGEP,No,"NA"
6691.9096,15 to 24 years,Female,British Columbia,Not a visible minority,"$125,000 or more",Going to school,University Master's degree,University Master's degree,No,"NA"
1656.8305,15 to 24 years,Female,New Brunswick,Not a visible minority,"$50,000 to $74,999",Going to school,University bachelor's degree,University bachelor's degree,Don't know,"NA"
3111.0383,15 to 24 years,Female,Ontario,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,University bachelor's degree,Yes,Financial situation
456.3296,15 to 24 years,Female,Manitoba,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,University Master's degree,No,"NA"
2220.3235,25 to 34 years,Female,Ontario,Visible minority,"$25,000 to $49,999",Going to school,Non-college/Private/Commercial Certificate/Diploma,University bachelor's degree,Yes,Takes too long
645.9877,15 to 24 years,Male,Newfoundland and Labroador,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
2112.0141,15 to 24 years,Male,Manitoba,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,University Master's degree,No,"NA"
645.8368,15 to 24 years,Female,Newfoundland and Labroador,Not a visible minority,"$125,000 or more",Going to school,University Master's degree,University Master's degree,No,"NA"
3719.5957,25 to 34 years,Female,Ontario,Not a visible minority,"$25,000 to $49,999",Going to school,University Master's degree,University Master's degree,Yes,Financial situation
534.8622,45 to 54 years,Female,Saskatchewan,Not a visible minority,"$75,000 to $99,999",Going to school,"NA","NA","NA","NA"
2993.02,15 to 24 years,Male,Ontario,Not a visible minority,"$125,000 or more",Going to school,University Master's degree,University Master's degree,No,"NA"
2063.9019,35 to 44 years,Female,Quebec,Not a visible minority,"$50,000 to $74,999",Going to school,College or CEGEP,College or CEGEP,No,"NA"
3982.5097,15 to 24 years,Male,Quebec,Not a visible minority,"$125,000 or more",Going to school,University Master's degree,University bachelor's degree,No,"NA"
847.9914,15 to 24 years,Female,Ontario,Visible minority,"Less than $25,000",Going to school,University bachelor's degree,University Master's degree,No,"NA"
2272.3547,25 to 34 years,Male,Alberta,Visible minority,"$75,000 to $99,999",Going to school,College or CEGEP,University bachelor's degree,Yes,Financial situation
5316.4716,15 to 24 years,Female,Quebec,Visible minority,"Less than $25,000",Going to school,University bachelor's degree,University bachelor's degree,Yes,Takes too long
2412.0351,45 to 54 years,Female,Alberta,Not a visible minority,"$125,000 or more",Going to school,College or CEGEP,College or CEGEP,No,"NA"
1023.4915,15 to 24 years,Male,Newfoundland and Labroador,Not a visible minority,"$75,000 to $99,999",Going to school,College or CEGEP,College or CEGEP,Yes,Financial situation
523.3221,15 to 24 years,Female,Saskatchewan,Not a visible minority,"$125,000 or more",Going to school,University Master's degree,University bachelor's degree,Yes,Financial situation
2340.4722,15 to 24 years,Male,Quebec,Not a visible minority,"$75,000 to $99,999",Going to school,University Master's degree,University Master's degree,No,"NA"
555.1192,25 to 34 years,Female,British Columbia,Visible minority,"$25,000 to $49,999",Going to school,University Master's degree,Ph.D. (university-earned doctorate),Yes,Other - Specify
3501.7906,15 to 24 years,Female,Saskatchewan,Visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
2137.2555,15 to 24 years,Female,Alberta,Visible minority,"$75,000 to $99,999",Going to school,College or CEGEP,University bachelor's degree,No,"NA"
1036.9675,15 to 24 years,Male,Saskatchewan,Not a visible minority,"Less than $25,000",Going to school,University Master's degree,University Master's degree,No,"NA"
3216.3781,15 to 24 years,Male,Quebec,Not a visible minority,"$75,000 to $99,999",Going to school,University Master's degree,Ph.D. (university-earned doctorate),No,"NA"
5480.4418,15 to 24 years,Male,Ontario,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University Master's degree,No,"NA"
3921.9426,15 to 24 years,Male,Ontario,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
2827.3327,15 to 24 years,Male,British Columbia,Visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
5114.9862,35 to 44 years,Female,British Columbia,Not a visible minority,"$25,000 to $49,999",Going to school,College or CEGEP,College or CEGEP,Yes,Personal health
1066.5351,15 to 24 years,Male,Saskatchewan,Visible minority,"$125,000 or more",Going to school,University bachelor's degree,"NA",No,"NA"
725.8632,15 to 24 years,Female,Saskatchewan,Not a visible minority,"Less than $25,000",Going to school,"NA",University bachelor's degree,Yes,Financial situation
6150.4401,15 to 24 years,Female,Quebec,Not a visible minority,"$125,000 or more",Going to school,University Master's degree,University Master's degree,Yes,Financial situation
6722.0519,15 to 24 years,Female,Alberta,Visible minority,"$125,000 or more",Going to school,University bachelor's degree,University Master's degree,No,"NA"
3264.2644,15 to 24 years,Male,Ontario,Not a visible minority,"Less than $25,000",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),Yes,Financial situation
5426.3178,15 to 24 years,Female,Ontario,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,Yes,Financial situation
1800.9712,25 to 34 years,Male,Manitoba,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University Master's degree,Yes,Financial situation
1207.7363,15 to 24 years,Male,Manitoba,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
2295.9898,15 to 24 years,Male,Quebec,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,Ph.D. (university-earned doctorate),No,"NA"
247.1048,15 to 24 years,Female,Newfoundland and Labroador,Not a visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
6872.5181,15 to 24 years,Female,Ontario,Not a visible minority,"$100,000 to $124,999",Going to school,University Master's degree,University Master's degree,No,"NA"
4422.2003,15 to 24 years,Male,Ontario,Visible minority,"$125,000 or more",Going to school,College or CEGEP,College or CEGEP,No,"NA"
331.2919,15 to 24 years,Female,Newfoundland and Labroador,Not a visible minority,"Less than $25,000",Going to school,University Master's degree,University Master's degree,No,"NA"
3408.0276,25 to 34 years,Female,Alberta,Not a visible minority,"$25,000 to $49,999",Going to school,University bachelor's degree,"University first professional degree, such as medicine, d...",No,"NA"
1518.7011,25 to 34 years,Male,Quebec,Visible minority,"Less than $25,000",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
4524.5658,15 to 24 years,Female,Quebec,Not a visible minority,"$25,000 to $49,999",Going to school,College or CEGEP,College or CEGEP,No,"NA"
910.7644,25 to 34 years,Female,New Brunswick,Not a visible minority,"$100,000 to $124,999",Going to school,University bachelor's degree,University bachelor's degree,Yes,Financial situation
1099.1578,15 to 24 years,Female,New Brunswick,Not a visible minority,"$75,000 to $99,999",Going to school,"University first professional degree, such as medicine, d...","University first professional degree, such as medicine, d...",No,"NA"
4350.4696,15 to 24 years,Female,Ontario,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
3928.0869,35 to 44 years,Female,Alberta,Not a visible minority,"$25,000 to $49,999",Going to school,Other,Other,No,"NA"
4719.4343,15 to 24 years,Female,Quebec,Visible minority,"$75,000 to $99,999",Going to school,University Master's degree,University Master's degree,No,"NA"
1923.7002,15 to 24 years,Male,Ontario,Visible minority,"Less than $25,000",Going to school,College or CEGEP,University bachelor's degree,No,"NA"
2420.0239,15 to 24 years,Male,Ontario,Not a visible minority,"$25,000 to $49,999",Going to school,University bachelor's degree,Ph.D. (university-earned doctorate),No,"NA"
3246.1202,15 to 24 years,Female,Ontario,Not a visible minority,"$75,000 to $99,999",Going to school,"University first professional degree, such as medicine, d...",Ph.D. (university-earned doctorate),Yes,Financial situation
5766.9085,15 to 24 years,Male,Alberta,Not a visible minority,"$125,000 or more",Going to school,"University first professional degree, such as medicine, d...","University first professional degree, such as medicine, d...",No,"NA"
1006.7259,15 to 24 years,Female,Saskatchewan,Not a visible minority,"$75,000 to $99,999",Going to school,"University first professional degree, such as medicine, d...","University first professional degree, such as medicine, d...",No,"NA"
2041.1132,15 to 24 years,Female,Quebec,Visible minority,"$50,000 to $74,999",Going to school,University bachelor's degree,University bachelor's degree,Yes,Financial situation
2136.8643,15 to 24 years,Male,Ontario,Visible minority,"Less than $25,000",Going to school,University Master's degree,University Master's degree,Yes,Financial situation
5266.6628,15 to 24 years,Male,British Columbia,Visible minority,"$50,000 to $74,999",Going to school,"University first professional degree, such as medicine, d...",University Master's degree,No,"NA"
4314.7071,15 to 24 years,Female,Ontario,Not a visible minority,"$125,000 or more",Going to school,"University first professional degree, such as medicine, d...","University first professional degree, such as medicine, d...",Yes,Financial situation
1744.6553,15 to 24 years,Female,British Columbia,Not a visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,University bachelor's degree,Yes,Other - Specify
615.4045,15 to 24 years,Female,Saskatchewan,Not a visible minority,"$75,000 to $99,999",Going to school,High school diploma or graduation equivalency,High school diploma or graduation equivalency,No,"NA"
3743.9533,15 to 24 years,Male,Quebec,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
2605.5548,15 to 24 years,Male,British Columbia,Visible minority,"$75,000 to $99,999",Going to school,"University first professional degree, such as medicine, d...",University bachelor's degree,No,"NA"
8518.5459,15 to 24 years,Male,Ontario,Visible minority,"$75,000 to $99,999",Going to school,"University first professional degree, such as medicine, d...",University bachelor's degree,No,"NA"
9487.3127,15 to 24 years,Male,Ontario,Visible minority,"$25,000 to $49,999",Going to school,University Master's degree,University Master's degree,Yes,Takes too long
1271.7533,15 to 24 years,Male,Nova Scotia,Visible minority,"$125,000 or more",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
1560.0837,15 to 24 years,Female,Nova Scotia,Not a visible minority,"$125,000 or more",Going to school,College or CEGEP,College or CEGEP,No,"NA"
6125.8093,15 to 24 years,Male,Ontario,Not a visible minority,"$125,000 or more",Going to school,College or CEGEP,College or CEGEP,No,"NA"
7237.02,15 to 24 years,Male,Alberta,Not a visible minority,"$50,000 to $74,999",Going to school,University bachelor's degree,Ph.D. (university-earned doctorate),No,"NA"
2268.0728,15 to 24 years,Male,Nova Scotia,Not a visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
4155.9198,15 to 24 years,Male,Ontario,Not a visible minority,"$50,000 to $74,999",Going to school,High school diploma or graduation equivalency,High school diploma or graduation equivalency,No,"NA"
4366.4131,15 to 24 years,Male,Ontario,Not a visible minority,"$125,000 or more",Going to school,Non-college/Private/Commercial Certificate/Diploma,Non-college/Private/Commercial Certificate/Diploma,No,"NA"
3245.5963,15 to 24 years,Female,British Columbia,Not a visible minority,"$125,000 or more",Going to school,College or CEGEP,Ph.D. (university-earned doctorate),Yes,Financial situation
4983.0719,15 to 24 years,Female,Ontario,Visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
4096.7744,15 to 24 years,Female,British Columbia,Don't know,"$75,000 to $99,999",Going to school,"NA","NA",No,"NA"
921.2023,15 to 24 years,Male,New Brunswick,Not a visible minority,"$25,000 to $49,999",Going to school,Non-college/Private/Commercial Certificate/Diploma,Non-college/Private/Commercial Certificate/Diploma,No,"NA"
3009.7064,15 to 24 years,Female,Ontario,Visible minority,"$100,000 to $124,999",Going to school,"NA",University bachelor's degree,No,"NA"
1910.4056,25 to 34 years,Female,Manitoba,Visible minority,"$75,000 to $99,999",Going to school,College or CEGEP,College or CEGEP,No,"NA"
3254.0904,15 to 24 years,Male,Ontario,Visible minority,"$100,000 to $124,999",Going to school,College or CEGEP,College or CEGEP,No,"NA"
4836.9625,15 to 24 years,Female,Ontario,Not a visible minority,"$50,000 to $74,999",Going to school,High school diploma or graduation equivalency,University Master's degree,No,"NA"
1878.7645,15 to 24 years,Female,Ontario,Visible minority,"Less than $25,000",Going to school,University bachelor's degree,University Master's degree,No,"NA"
2231.7812,15 to 24 years,Male,New Brunswick,Not a visible minority,"$75,000 to $99,999",Going to school,College or CEGEP,University bachelor's degree,No,"NA"
4336.4574,15 to 24 years,Female,Alberta,Visible minority,"$50,000 to $74,999",Going to school,University Master's degree,University Master's degree,Yes,Not able to get into program
4334.5455,15 to 24 years,Female,British Columbia,Visible minority,"$75,000 to $99,999",Going to school,University Master's degree,University Master's degree,Yes,Financial situation
421.9254,15 to 24 years,Male,Saskatchewan,Not a visible minority,"$25,000 to $49,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
6493.3791,15 to 24 years,Male,British Columbia,Visible minority,"$125,000 or more",Going to school,University Master's degree,University Master's degree,No,"NA"
7906.0939,15 to 24 years,Male,Ontario,Not a visible minority,"$100,000 to $124,999",Going to school,College or CEGEP,College or CEGEP,No,"NA"
4737.8618,15 to 24 years,Male,Alberta,Visible minority,"$125,000 or more",Going to school,University Master's degree,University Master's degree,Yes,Not able to get into program
1862.3018,15 to 24 years,Male,British Columbia,Not a visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
1751.3242,25 to 34 years,Female,Alberta,Visible minority,"Less than $25,000",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),Yes,Other - Specify
2428.0513,15 to 24 years,Male,Manitoba,Not a visible minority,"$125,000 or more",Going to school,High school diploma or graduation equivalency,College or CEGEP,No,"NA"
668.4852,15 to 24 years,Male,Newfoundland and Labroador,Not a visible minority,"$100,000 to $124,999",Going to school,College or CEGEP,College or CEGEP,No,"NA"
927.345,35 to 44 years,Female,Quebec,Not a visible minority,"Less than $25,000",Going to school,High school diploma or graduation equivalency,High school diploma or graduation equivalency,No,"NA"
1932.7669,15 to 24 years,Female,Quebec,Not a visible minority,"Less than $25,000",Going to school,University Master's degree,University Master's degree,Yes,Not able to get into program
1256.7978,25 to 34 years,Female,Manitoba,Visible minority,"Less than $25,000",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
718.3443,15 to 24 years,Male,Saskatchewan,Visible minority,"$125,000 or more",Going to school,"University first professional degree, such as medicine, d...","University first professional degree, such as medicine, d...",Yes,Financial situation
873.3556,15 to 24 years,Female,Ontario,Visible minority,"Less than $25,000",Going to school,University bachelor's degree,University Master's degree,No,"NA"
1833.2649,15 to 24 years,Male,British Columbia,"NA","Less than $25,000",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
358.1039,35 to 44 years,Male,Newfoundland and Labroador,Not a visible minority,"$100,000 to $124,999",Going to school,College or CEGEP,University bachelor's degree,Yes,Financial situation
4923.9767,25 to 34 years,Female,Ontario,Not a visible minority,"$125,000 or more",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),Yes,Financial situation
790.3974,15 to 24 years,Male,Saskatchewan,Not a visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
1141.443,35 to 44 years,Female,British Columbia,Not a visible minority,"$50,000 to $74,999",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),Yes,Financial situation
2258.1063,45 to 54 years,Male,Ontario,Visible minority,"Less than $25,000",Going to school,Non-college/Private/Commercial Certificate/Diploma,College or CEGEP,Yes,Financial situation
1064.0232,15 to 24 years,Female,Nova Scotia,Not a visible minority,"$75,000 to $99,999",Going to school,University Master's degree,University Master's degree,No,"NA"
7985.4201,15 to 24 years,Female,Quebec,Visible minority,"$50,000 to $74,999",Going to school,University bachelor's degree,University Master's degree,No,"NA"
1352.8358,25 to 34 years,Male,Manitoba,Not a visible minority,"Less than $25,000",Going to school,"University first professional degree, such as medicine, d...","University first professional degree, such as medicine, d...",No,"NA"
2591.672,15 to 24 years,Male,Quebec,Not a visible minority,"Less than $25,000",Going to school,Non-college/Private/Commercial Certificate/Diploma,Non-college/Private/Commercial Certificate/Diploma,Yes,Financial situation
5868.0045,15 to 24 years,Male,Ontario,Not a visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,University bachelor's degree,Yes,Takes too long
455.1487,15 to 24 years,Male,Prince Edward Island,Not a visible minority,"$125,000 or more",Going to school,College or CEGEP,University Master's degree,Yes,Other - Specify
1398.1012,35 to 44 years,Male,Ontario,Not a visible minority,"$75,000 to $99,999",Going to school,"University first professional degree, such as medicine, d...","University first professional degree, such as medicine, d...",No,"NA"
795.5287,25 to 34 years,Female,Nova Scotia,Not a visible minority,"$25,000 to $49,999",Going to school,University Master's degree,University Master's degree,No,"NA"
5303.2313,15 to 24 years,Male,Ontario,Visible minority,"$100,000 to $124,999",Going to school,University Master's degree,University Master's degree,No,"NA"
4719.4343,15 to 24 years,Female,Quebec,Visible minority,"$75,000 to $99,999",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),Yes,Financial situation
2060.2666,35 to 44 years,Male,Ontario,Not a visible minority,"Less than $25,000",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
519.5868,15 to 24 years,Male,Newfoundland and Labroador,Not a visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
2186.3717,15 to 24 years,Female,Manitoba,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
6814.4839,15 to 24 years,Male,Ontario,Visible minority,"$50,000 to $74,999",Going to school,Ph.D. (university-earned doctorate),University Master's degree,Yes,Financial situation
2568.8801,15 to 24 years,Female,Saskatchewan,Not a visible minority,"$125,000 or more",Going to school,University Master's degree,University Master's degree,No,"NA"
1514.8111,15 to 24 years,Male,British Columbia,Not a visible minority,"$50,000 to $74,999",Going to school,"NA",College or CEGEP,No,"NA"
2176.4997,15 to 24 years,Female,British Columbia,Not a visible minority,"$50,000 to $74,999",Going to school,"University first professional degree, such as medicine, d...","University first professional degree, such as medicine, d...",No,"NA"
773.8271,15 to 24 years,Female,Newfoundland and Labroador,Not a visible minority,"$25,000 to $49,999",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
1953.8325,25 to 34 years,Male,Quebec,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,Yes,Financial situation
3892.8925,15 to 24 years,Male,Ontario,Not a visible minority,"$125,000 or more",Going to school,University Master's degree,University Master's degree,No,"NA"
5756.0968,15 to 24 years,Female,Ontario,Visible minority,"$25,000 to $49,999",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
509.3898,15 to 24 years,Female,New Brunswick,Not a visible minority,"$25,000 to $49,999",Going to school,University bachelor's degree,Ph.D. (university-earned doctorate),Yes,Financial situation
4586.894,15 to 24 years,Female,Ontario,Not a visible minority,"$125,000 or more",Going to school,"University first professional degree, such as medicine, d...",Ph.D. (university-earned doctorate),No,"NA"
293.35,15 to 24 years,Female,British Columbia,Not a visible minority,"Less than $25,000",Going to school,University Master's degree,University Master's degree,No,"NA"
1789.5916,15 to 24 years,Female,Saskatchewan,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University Master's degree,No,"NA"
2993.02,15 to 24 years,Male,Ontario,Not a visible minority,"$125,000 or more",Going to school,University Master's degree,University Master's degree,No,"NA"
2019.3611,15 to 24 years,Male,Alberta,Not a visible minority,"Less than $25,000",Going to school,High school diploma or graduation equivalency,High school diploma or graduation equivalency,No,"NA"
1845.8269,35 to 44 years,Male,Quebec,Not a visible minority,"Less than $25,000",Going to school,Non-college/Private/Commercial Certificate/Diploma,Non-college/Private/Commercial Certificate/Diploma,Yes,Financial situation
1117.2449,15 to 24 years,Male,Nova Scotia,Not a visible minority,"$75,000 to $99,999",Going to school,College or CEGEP,"NA",No,"NA"
4863.6007,15 to 24 years,Female,Ontario,Visible minority,"$75,000 to $99,999",Going to school,University Master's degree,University Master's degree,No,"NA"
215.3842,25 to 34 years,Female,Newfoundland and Labroador,Not a visible minority,"$25,000 to $49,999",Going to school,University bachelor's degree,University Master's degree,No,"NA"
12102.0352,15 to 24 years,Female,Ontario,Not a visible minority,"$125,000 or more",Going to school,"University first professional degree, such as medicine, d...","University first professional degree, such as medicine, d...",No,"NA"
672.4995,15 to 24 years,Female,Nova Scotia,Not a visible minority,"$50,000 to $74,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
4631.09,15 to 24 years,Female,Quebec,Not a visible minority,"Less than $25,000",Going to school,College or CEGEP,College or CEGEP,No,"NA"
2716.027,15 to 24 years,Female,Ontario,Not a visible minority,"$125,000 or more",Going to school,University Master's degree,University Master's degree,Yes,Financial situation
160.5703,15 to 24 years,Female,Newfoundland and Labroador,Not a visible minority,"Less than $25,000",Going to school,University Master's degree,University Master's degree,Yes,Financial situation
2023.7129,25 to 34 years,Male,Ontario,Visible minority,"Less than $25,000",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
8911.7417,15 to 24 years,Female,British Columbia,Not a visible minority,"$100,000 to $124,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
2244.8306,35 to 44 years,Male,Alberta,Not a visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
5977.6262,15 to 24 years,Male,Quebec,Not a visible minority,"$125,000 or more",Going to school,University Master's degree,University Master's degree,No,"NA"
9110.3131,15 to 24 years,Male,Alberta,Not a visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
1200.5848,15 to 24 years,Male,Manitoba,Not a visible minority,"$75,000 to $99,999",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
2851.9238,25 to 34 years,Male,British Columbia,Visible minority,"$75,000 to $99,999",Going to school,University Master's degree,University Master's degree,No,"NA"
1962.3677,45 to 54 years,Male,Ontario,Visible minority,"$125,000 or more",Going to school,Other,University bachelor's degree,Yes,Other - Specify
2070.2927,15 to 24 years,Male,Ontario,Not a visible minority,"$50,000 to $74,999",Going to school,College or CEGEP,College or CEGEP,Yes,Personal health
10078.8186,15 to 24 years,Female,Ontario,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,Yes,Personal health
1589.9012,45 to 54 years,Female,Alberta,Not a visible minority,"$50,000 to $74,999",Going to school,Non-college/Private/Commercial Certificate/Diploma,College or CEGEP,No,"NA"
2573.1703,25 to 34 years,Female,Ontario,Visible minority,"$50,000 to $74,999",Going to school,"NA","NA",Yes,Caring for own children
10334.1511,15 to 24 years,Male,Alberta,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
8183.6911,15 to 24 years,Male,Quebec,Not a visible minority,"$125,000 or more",Going to school,High school diploma or graduation equivalency,High school diploma or graduation equivalency,Yes,Personal health
1835.3725,15 to 24 years,Male,Manitoba,Visible minority,"$75,000 to $99,999",Going to school,"University first professional degree, such as medicine, d...","University first professional degree, such as medicine, d...",No,"NA"
2366.5601,15 to 24 years,Female,Quebec,Not a visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
1254.0522,15 to 24 years,Female,Nova Scotia,Visible minority,"Less than $25,000",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
4672.6932,15 to 24 years,Male,Quebec,Not a visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
2194.6017,35 to 44 years,Male,Quebec,Not a visible minority,"$100,000 to $124,999",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
4553.5758,15 to 24 years,Female,Ontario,Not a visible minority,"$125,000 or more",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),Yes,Financial situation
1963.1014,15 to 24 years,Female,Ontario,Not a visible minority,"$25,000 to $49,999",Going to school,University Master's degree,University Master's degree,Yes,Financial situation
2616.8911,15 to 24 years,Female,Manitoba,Not a visible minority,"$125,000 or more",Going to school,College or CEGEP,College or CEGEP,No,"NA"
1489.672,25 to 34 years,Male,Alberta,Not a visible minority,"$75,000 to $99,999",Going to school,College or CEGEP,College or CEGEP,Yes,Financial situation
3058.8993,25 to 34 years,Female,Ontario,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
